Country,Amount,Lat,Lng,Exporter,ExporterLat,ExporterFromLng
AUSTRIA,0,47.33,13.33,AUSTRIA,47.33,13.33
AUSTRIA,134600,47.33,13.33,BELGIUM,50.83,4
AUSTRIA,0,47.33,13.33,BULGARIA,43,25
AUSTRIA,0,47.33,13.33,CYPRUS,35,33
AUSTRIA,0,47.33,13.33,CZECH REPUBLIC,49.75,15.5
AUSTRIA,0,47.33,13.33,DENMARK,56,10
AUSTRIA,0,47.33,13.33,ESTONIA,59,26
AUSTRIA,0,47.33,13.33,FINLAND,64,26
AUSTRIA,0,47.33,13.33,FRANCE,46,2
AUSTRIA,3700,47.33,13.33,GERMANY,51,9
AUSTRIA,0,47.33,13.33,GREECE,39,22
AUSTRIA,13600,47.33,13.33,HUNGARY,47,20
AUSTRIA,0,47.33,13.33,IRELAND,53,-8
AUSTRIA,93800,47.33,13.33,ITALY,42.83,12.83
AUSTRIA,0,47.33,13.33,LATVIA,57,25
AUSTRIA,0,47.33,13.33,LITHUANIA,56,24
AUSTRIA,0,47.33,13.33,LUXEMBOURG,49.75,6.17
AUSTRIA,0,47.33,13.33,MALTA,35.83,14.58
AUSTRIA,109800,47.33,13.33,NETHERLANDS,52.5,5.75
AUSTRIA,0,47.33,13.33,POLAND,52,20
AUSTRIA,0,47.33,13.33,PORTUGAL,39.5,-8
AUSTRIA,6400,47.33,13.33,ROMANIA,46,25
AUSTRIA,0,47.33,13.33,SLOVAKIA,48.67,19.5
AUSTRIA,0,47.33,13.33,SLOVENIA,46,15
AUSTRIA,0,47.33,13.33,SPAIN,40,-4
AUSTRIA,0,47.33,13.33,SWEDEN,62,15
AUSTRIA,0,47.33,13.33,UNITED KINGDOM,54,-2
AUSTRIA,0,47.33,13.33,ANDORRA,42.5,1.6
AUSTRIA,0,47.33,13.33,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
AUSTRIA,0,47.33,13.33,GIBRALTAR,36.18,-5.37
AUSTRIA,0,47.33,13.33,GHANA,8,-2
AUSTRIA,0,47.33,13.33,GREENLAND,72,-40
AUSTRIA,0,47.33,13.33,JAPAN,36,138
AUSTRIA,0,47.33,13.33,KAZAKHSTAN,48,68
AUSTRIA,0,47.33,13.33,RUSSIAN FEDERATION,60,100
AUSTRIA,0,47.33,13.33,SAO TOME AND PRINCIPE,1,7
AUSTRIA,0,47.33,13.33,SWITZERLAND,47,8
AUSTRIA,0,47.33,13.33,THAILAND,15,100
AUSTRIA,0,47.33,13.33,URUGUAY,-33,-56
AUSTRIA,0,47.33,13.33,US,38,-97
BELGIUM,0,50.83,4,AUSTRIA,47.33,13.33
BELGIUM,0,50.83,4,BELGIUM,50.83,4
BELGIUM,35400,50.83,4,BULGARIA,43,25
BELGIUM,0,50.83,4,CYPRUS,35,33
BELGIUM,0,50.83,4,CZECH REPUBLIC,49.75,15.5
BELGIUM,79500,50.83,4,DENMARK,56,10
BELGIUM,0,50.83,4,ESTONIA,59,26
BELGIUM,0,50.83,4,FINLAND,64,26
BELGIUM,2387100,50.83,4,FRANCE,46,2
BELGIUM,191200,50.83,4,GERMANY,51,9
BELGIUM,600,50.83,4,GREECE,39,22
BELGIUM,0,50.83,4,HUNGARY,47,20
BELGIUM,654900,50.83,4,IRELAND,53,-8
BELGIUM,225700,50.83,4,ITALY,42.83,12.83
BELGIUM,0,50.83,4,LATVIA,57,25
BELGIUM,0,50.83,4,LITHUANIA,56,24
BELGIUM,400,50.83,4,LUXEMBOURG,49.75,6.17
BELGIUM,0,50.83,4,MALTA,35.83,14.58
BELGIUM,1408400,50.83,4,NETHERLANDS,52.5,5.75
BELGIUM,0,50.83,4,POLAND,52,20
BELGIUM,0,50.83,4,PORTUGAL,39.5,-8
BELGIUM,1228600,50.83,4,ROMANIA,46,25
BELGIUM,0,50.83,4,SLOVAKIA,48.67,19.5
BELGIUM,0,50.83,4,SLOVENIA,46,15
BELGIUM,5200,50.83,4,SPAIN,40,-4
BELGIUM,0,50.83,4,SWEDEN,62,15
BELGIUM,151400,50.83,4,UNITED KINGDOM,54,-2
BELGIUM,0,50.83,4,ANDORRA,42.5,1.6
BELGIUM,0,50.83,4,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
BELGIUM,0,50.83,4,GIBRALTAR,36.18,-5.37
BELGIUM,0,50.83,4,GHANA,8,-2
BELGIUM,0,50.83,4,GREENLAND,72,-40
BELGIUM,0,50.83,4,JAPAN,36,138
BELGIUM,0,50.83,4,KAZAKHSTAN,48,68
BELGIUM,0,50.83,4,RUSSIAN FEDERATION,60,100
BELGIUM,0,50.83,4,SAO TOME AND PRINCIPE,1,7
BELGIUM,0,50.83,4,SWITZERLAND,47,8
BELGIUM,0,50.83,4,THAILAND,15,100
BELGIUM,0,50.83,4,URUGUAY,-33,-56
BELGIUM,0,50.83,4,US,38,-97
BULGARIA,0,43,25,AUSTRIA,47.33,13.33
BULGARIA,181900,43,25,BELGIUM,50.83,4
BULGARIA,0,43,25,BULGARIA,43,25
BULGARIA,0,43,25,CYPRUS,35,33
BULGARIA,0,43,25,CZECH REPUBLIC,49.75,15.5
BULGARIA,0,43,25,DENMARK,56,10
BULGARIA,0,43,25,ESTONIA,59,26
BULGARIA,0,43,25,FINLAND,64,26
BULGARIA,42000,43,25,FRANCE,46,2
BULGARIA,0,43,25,GERMANY,51,9
BULGARIA,0,43,25,GREECE,39,22
BULGARIA,827200,43,25,HUNGARY,47,20
BULGARIA,0,43,25,IRELAND,53,-8
BULGARIA,71300,43,25,ITALY,42.83,12.83
BULGARIA,0,43,25,LATVIA,57,25
BULGARIA,0,43,25,LITHUANIA,56,24
BULGARIA,0,43,25,LUXEMBOURG,49.75,6.17
BULGARIA,0,43,25,MALTA,35.83,14.58
BULGARIA,0,43,25,NETHERLANDS,52.5,5.75
BULGARIA,0,43,25,POLAND,52,20
BULGARIA,0,43,25,PORTUGAL,39.5,-8
BULGARIA,1870800,43,25,ROMANIA,46,25
BULGARIA,0,43,25,SLOVAKIA,48.67,19.5
BULGARIA,0,43,25,SLOVENIA,46,15
BULGARIA,1600,43,25,SPAIN,40,-4
BULGARIA,0,43,25,SWEDEN,62,15
BULGARIA,0,43,25,UNITED KINGDOM,54,-2
BULGARIA,0,43,25,ANDORRA,42.5,1.6
BULGARIA,0,43,25,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
BULGARIA,0,43,25,GIBRALTAR,36.18,-5.37
BULGARIA,0,43,25,GHANA,8,-2
BULGARIA,0,43,25,GREENLAND,72,-40
BULGARIA,0,43,25,JAPAN,36,138
BULGARIA,0,43,25,KAZAKHSTAN,48,68
BULGARIA,0,43,25,RUSSIAN FEDERATION,60,100
BULGARIA,0,43,25,SAO TOME AND PRINCIPE,1,7
BULGARIA,0,43,25,SWITZERLAND,47,8
BULGARIA,0,43,25,THAILAND,15,100
BULGARIA,0,43,25,URUGUAY,-33,-56
BULGARIA,0,43,25,US,38,-97
CYPRUS,0,35,33,AUSTRIA,47.33,13.33
CYPRUS,200600,35,33,BELGIUM,50.83,4
CYPRUS,0,35,33,BULGARIA,43,25
CYPRUS,0,35,33,CYPRUS,35,33
CYPRUS,0,35,33,CZECH REPUBLIC,49.75,15.5
CYPRUS,0,35,33,DENMARK,56,10
CYPRUS,0,35,33,ESTONIA,59,26
CYPRUS,0,35,33,FINLAND,64,26
CYPRUS,84800,35,33,FRANCE,46,2
CYPRUS,0,35,33,GERMANY,51,9
CYPRUS,100,35,33,GREECE,39,22
CYPRUS,0,35,33,HUNGARY,47,20
CYPRUS,0,35,33,IRELAND,53,-8
CYPRUS,0,35,33,ITALY,42.83,12.83
CYPRUS,0,35,33,LATVIA,57,25
CYPRUS,0,35,33,LITHUANIA,56,24
CYPRUS,0,35,33,LUXEMBOURG,49.75,6.17
CYPRUS,0,35,33,MALTA,35.83,14.58
CYPRUS,0,35,33,NETHERLANDS,52.5,5.75
CYPRUS,0,35,33,POLAND,52,20
CYPRUS,0,35,33,PORTUGAL,39.5,-8
CYPRUS,0,35,33,ROMANIA,46,25
CYPRUS,0,35,33,SLOVAKIA,48.67,19.5
CYPRUS,0,35,33,SLOVENIA,46,15
CYPRUS,6300,35,33,SPAIN,40,-4
CYPRUS,0,35,33,SWEDEN,62,15
CYPRUS,0,35,33,UNITED KINGDOM,54,-2
CYPRUS,0,35,33,ANDORRA,42.5,1.6
CYPRUS,0,35,33,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
CYPRUS,0,35,33,GIBRALTAR,36.18,-5.37
CYPRUS,0,35,33,GHANA,8,-2
CYPRUS,0,35,33,GREENLAND,72,-40
CYPRUS,0,35,33,JAPAN,36,138
CYPRUS,0,35,33,KAZAKHSTAN,48,68
CYPRUS,0,35,33,RUSSIAN FEDERATION,60,100
CYPRUS,0,35,33,SAO TOME AND PRINCIPE,1,7
CYPRUS,0,35,33,SWITZERLAND,47,8
CYPRUS,0,35,33,THAILAND,15,100
CYPRUS,0,35,33,URUGUAY,-33,-56
CYPRUS,0,35,33,US,38,-97
CZECH REPUBLIC,0,49.75,15.5,AUSTRIA,47.33,13.33
CZECH REPUBLIC,38200,49.75,15.5,BELGIUM,50.83,4
CZECH REPUBLIC,0,49.75,15.5,BULGARIA,43,25
CZECH REPUBLIC,0,49.75,15.5,CYPRUS,35,33
CZECH REPUBLIC,0,49.75,15.5,CZECH REPUBLIC,49.75,15.5
CZECH REPUBLIC,0,49.75,15.5,DENMARK,56,10
CZECH REPUBLIC,0,49.75,15.5,ESTONIA,59,26
CZECH REPUBLIC,0,49.75,15.5,FINLAND,64,26
CZECH REPUBLIC,32500,49.75,15.5,FRANCE,46,2
CZECH REPUBLIC,0,49.75,15.5,GERMANY,51,9
CZECH REPUBLIC,0,49.75,15.5,GREECE,39,22
CZECH REPUBLIC,0,49.75,15.5,HUNGARY,47,20
CZECH REPUBLIC,63400,49.75,15.5,IRELAND,53,-8
CZECH REPUBLIC,84000,49.75,15.5,ITALY,42.83,12.83
CZECH REPUBLIC,0,49.75,15.5,LATVIA,57,25
CZECH REPUBLIC,0,49.75,15.5,LITHUANIA,56,24
CZECH REPUBLIC,0,49.75,15.5,LUXEMBOURG,49.75,6.17
CZECH REPUBLIC,0,49.75,15.5,MALTA,35.83,14.58
CZECH REPUBLIC,12300,49.75,15.5,NETHERLANDS,52.5,5.75
CZECH REPUBLIC,1100,49.75,15.5,POLAND,52,20
CZECH REPUBLIC,0,49.75,15.5,PORTUGAL,39.5,-8
CZECH REPUBLIC,0,49.75,15.5,ROMANIA,46,25
CZECH REPUBLIC,0,49.75,15.5,SLOVAKIA,48.67,19.5
CZECH REPUBLIC,0,49.75,15.5,SLOVENIA,46,15
CZECH REPUBLIC,3000,49.75,15.5,SPAIN,40,-4
CZECH REPUBLIC,0,49.75,15.5,SWEDEN,62,15
CZECH REPUBLIC,0,49.75,15.5,UNITED KINGDOM,54,-2
CZECH REPUBLIC,0,49.75,15.5,ANDORRA,42.5,1.6
CZECH REPUBLIC,0,49.75,15.5,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
CZECH REPUBLIC,0,49.75,15.5,GIBRALTAR,36.18,-5.37
CZECH REPUBLIC,0,49.75,15.5,GHANA,8,-2
CZECH REPUBLIC,0,49.75,15.5,GREENLAND,72,-40
CZECH REPUBLIC,0,49.75,15.5,JAPAN,36,138
CZECH REPUBLIC,0,49.75,15.5,KAZAKHSTAN,48,68
CZECH REPUBLIC,0,49.75,15.5,RUSSIAN FEDERATION,60,100
CZECH REPUBLIC,0,49.75,15.5,SAO TOME AND PRINCIPE,1,7
CZECH REPUBLIC,0,49.75,15.5,SWITZERLAND,47,8
CZECH REPUBLIC,0,49.75,15.5,THAILAND,15,100
CZECH REPUBLIC,0,49.75,15.5,URUGUAY,-33,-56
CZECH REPUBLIC,0,49.75,15.5,US,38,-97
DENMARK,0,56,10,AUSTRIA,47.33,13.33
DENMARK,76100,56,10,BELGIUM,50.83,4
DENMARK,0,56,10,BULGARIA,43,25
DENMARK,0,56,10,CYPRUS,35,33
DENMARK,0,56,10,CZECH REPUBLIC,49.75,15.5
DENMARK,0,56,10,DENMARK,56,10
DENMARK,0,56,10,ESTONIA,59,26
DENMARK,0,56,10,FINLAND,64,26
DENMARK,0,56,10,FRANCE,46,2
DENMARK,0,56,10,GERMANY,51,9
DENMARK,0,56,10,GREECE,39,22
DENMARK,0,56,10,HUNGARY,47,20
DENMARK,44600,56,10,IRELAND,53,-8
DENMARK,40700,56,10,ITALY,42.83,12.83
DENMARK,0,56,10,LATVIA,57,25
DENMARK,0,56,10,LITHUANIA,56,24
DENMARK,0,56,10,LUXEMBOURG,49.75,6.17
DENMARK,0,56,10,MALTA,35.83,14.58
DENMARK,40900,56,10,NETHERLANDS,52.5,5.75
DENMARK,0,56,10,POLAND,52,20
DENMARK,0,56,10,PORTUGAL,39.5,-8
DENMARK,0,56,10,ROMANIA,46,25
DENMARK,0,56,10,SLOVAKIA,48.67,19.5
DENMARK,0,56,10,SLOVENIA,46,15
DENMARK,4300,56,10,SPAIN,40,-4
DENMARK,0,56,10,SWEDEN,62,15
DENMARK,0,56,10,UNITED KINGDOM,54,-2
DENMARK,0,56,10,ANDORRA,42.5,1.6
DENMARK,0,56,10,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
DENMARK,0,56,10,GIBRALTAR,36.18,-5.37
DENMARK,0,56,10,GHANA,8,-2
DENMARK,0,56,10,GREENLAND,72,-40
DENMARK,0,56,10,JAPAN,36,138
DENMARK,0,56,10,KAZAKHSTAN,48,68
DENMARK,0,56,10,RUSSIAN FEDERATION,60,100
DENMARK,0,56,10,SAO TOME AND PRINCIPE,1,7
DENMARK,0,56,10,SWITZERLAND,47,8
DENMARK,0,56,10,THAILAND,15,100
DENMARK,0,56,10,URUGUAY,-33,-56
DENMARK,0,56,10,US,38,-97
ESTONIA,0,59,26,AUSTRIA,47.33,13.33
ESTONIA,34300,59,26,BELGIUM,50.83,4
ESTONIA,0,59,26,BULGARIA,43,25
ESTONIA,0,59,26,CYPRUS,35,33
ESTONIA,0,59,26,CZECH REPUBLIC,49.75,15.5
ESTONIA,0,59,26,DENMARK,56,10
ESTONIA,0,59,26,ESTONIA,59,26
ESTONIA,0,59,26,FINLAND,64,26
ESTONIA,0,59,26,FRANCE,46,2
ESTONIA,0,59,26,GERMANY,51,9
ESTONIA,0,59,26,GREECE,39,22
ESTONIA,110900,59,26,HUNGARY,47,20
ESTONIA,0,59,26,IRELAND,53,-8
ESTONIA,0,59,26,ITALY,42.83,12.83
ESTONIA,0,59,26,LATVIA,57,25
ESTONIA,3500,59,26,LITHUANIA,56,24
ESTONIA,0,59,26,LUXEMBOURG,49.75,6.17
ESTONIA,0,59,26,MALTA,35.83,14.58
ESTONIA,0,59,26,NETHERLANDS,52.5,5.75
ESTONIA,0,59,26,POLAND,52,20
ESTONIA,0,59,26,PORTUGAL,39.5,-8
ESTONIA,0,59,26,ROMANIA,46,25
ESTONIA,0,59,26,SLOVAKIA,48.67,19.5
ESTONIA,0,59,26,SLOVENIA,46,15
ESTONIA,2500,59,26,SPAIN,40,-4
ESTONIA,6700,59,26,SWEDEN,62,15
ESTONIA,0,59,26,UNITED KINGDOM,54,-2
ESTONIA,0,59,26,ANDORRA,42.5,1.6
ESTONIA,0,59,26,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
ESTONIA,0,59,26,GIBRALTAR,36.18,-5.37
ESTONIA,0,59,26,GHANA,8,-2
ESTONIA,0,59,26,GREENLAND,72,-40
ESTONIA,0,59,26,JAPAN,36,138
ESTONIA,0,59,26,KAZAKHSTAN,48,68
ESTONIA,0,59,26,RUSSIAN FEDERATION,60,100
ESTONIA,0,59,26,SAO TOME AND PRINCIPE,1,7
ESTONIA,0,59,26,SWITZERLAND,47,8
ESTONIA,0,59,26,THAILAND,15,100
ESTONIA,0,59,26,URUGUAY,-33,-56
ESTONIA,0,59,26,US,38,-97
FINLAND,0,64,26,AUSTRIA,47.33,13.33
FINLAND,832800,64,26,BELGIUM,50.83,4
FINLAND,0,64,26,BULGARIA,43,25
FINLAND,0,64,26,CYPRUS,35,33
FINLAND,0,64,26,CZECH REPUBLIC,49.75,15.5
FINLAND,25400,64,26,DENMARK,56,10
FINLAND,28600,64,26,ESTONIA,59,26
FINLAND,0,64,26,FINLAND,64,26
FINLAND,0,64,26,FRANCE,46,2
FINLAND,0,64,26,GERMANY,51,9
FINLAND,0,64,26,GREECE,39,22
FINLAND,0,64,26,HUNGARY,47,20
FINLAND,0,64,26,IRELAND,53,-8
FINLAND,32700,64,26,ITALY,42.83,12.83
FINLAND,0,64,26,LATVIA,57,25
FINLAND,0,64,26,LITHUANIA,56,24
FINLAND,0,64,26,LUXEMBOURG,49.75,6.17
FINLAND,0,64,26,MALTA,35.83,14.58
FINLAND,615100,64,26,NETHERLANDS,52.5,5.75
FINLAND,0,64,26,POLAND,52,20
FINLAND,0,64,26,PORTUGAL,39.5,-8
FINLAND,0,64,26,ROMANIA,46,25
FINLAND,0,64,26,SLOVAKIA,48.67,19.5
FINLAND,0,64,26,SLOVENIA,46,15
FINLAND,0,64,26,SPAIN,40,-4
FINLAND,0,64,26,SWEDEN,62,15
FINLAND,0,64,26,UNITED KINGDOM,54,-2
FINLAND,0,64,26,ANDORRA,42.5,1.6
FINLAND,0,64,26,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
FINLAND,0,64,26,GIBRALTAR,36.18,-5.37
FINLAND,0,64,26,GHANA,8,-2
FINLAND,0,64,26,GREENLAND,72,-40
FINLAND,0,64,26,JAPAN,36,138
FINLAND,0,64,26,KAZAKHSTAN,48,68
FINLAND,0,64,26,RUSSIAN FEDERATION,60,100
FINLAND,0,64,26,SAO TOME AND PRINCIPE,1,7
FINLAND,0,64,26,SWITZERLAND,47,8
FINLAND,0,64,26,THAILAND,15,100
FINLAND,0,64,26,URUGUAY,-33,-56
FINLAND,0,64,26,US,38,-97
FRANCE,0,46,2,AUSTRIA,47.33,13.33
FRANCE,5898900,46,2,BELGIUM,50.83,4
FRANCE,0,46,2,BULGARIA,43,25
FRANCE,0,46,2,CYPRUS,35,33
FRANCE,0,46,2,CZECH REPUBLIC,49.75,15.5
FRANCE,0,46,2,DENMARK,56,10
FRANCE,0,46,2,ESTONIA,59,26
FRANCE,0,46,2,FINLAND,64,26
FRANCE,0,46,2,FRANCE,46,2
FRANCE,51000,46,2,GERMANY,51,9
FRANCE,0,46,2,GREECE,39,22
FRANCE,0,46,2,HUNGARY,47,20
FRANCE,528600,46,2,IRELAND,53,-8
FRANCE,20700,46,2,ITALY,42.83,12.83
FRANCE,0,46,2,LATVIA,57,25
FRANCE,0,46,2,LITHUANIA,56,24
FRANCE,1411100,46,2,LUXEMBOURG,49.75,6.17
FRANCE,0,46,2,MALTA,35.83,14.58
FRANCE,2102500,46,2,NETHERLANDS,52.5,5.75
FRANCE,0,46,2,POLAND,52,20
FRANCE,0,46,2,PORTUGAL,39.5,-8
FRANCE,0,46,2,ROMANIA,46,25
FRANCE,0,46,2,SLOVAKIA,48.67,19.5
FRANCE,0,46,2,SLOVENIA,46,15
FRANCE,24500,46,2,SPAIN,40,-4
FRANCE,0,46,2,SWEDEN,62,15
FRANCE,1802700,46,2,UNITED KINGDOM,54,-2
FRANCE,0,46,2,ANDORRA,42.5,1.6
FRANCE,0,46,2,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
FRANCE,0,46,2,GIBRALTAR,36.18,-5.37
FRANCE,0,46,2,GHANA,8,-2
FRANCE,0,46,2,GREENLAND,72,-40
FRANCE,0,46,2,JAPAN,36,138
FRANCE,0,46,2,KAZAKHSTAN,48,68
FRANCE,0,46,2,RUSSIAN FEDERATION,60,100
FRANCE,0,46,2,SAO TOME AND PRINCIPE,1,7
FRANCE,0,46,2,SWITZERLAND,47,8
FRANCE,0,46,2,THAILAND,15,100
FRANCE,0,46,2,URUGUAY,-33,-56
FRANCE,0,46,2,US,38,-97
GERMANY,0,51,9,AUSTRIA,47.33,13.33
GERMANY,1108000,51,9,BELGIUM,50.83,4
GERMANY,0,51,9,BULGARIA,43,25
GERMANY,0,51,9,CYPRUS,35,33
GERMANY,0,51,9,CZECH REPUBLIC,49.75,15.5
GERMANY,0,51,9,DENMARK,56,10
GERMANY,0,51,9,ESTONIA,59,26
GERMANY,0,51,9,FINLAND,64,26
GERMANY,23700,51,9,FRANCE,46,2
GERMANY,0,51,9,GERMANY,51,9
GERMANY,0,51,9,GREECE,39,22
GERMANY,0,51,9,HUNGARY,47,20
GERMANY,95800,51,9,IRELAND,53,-8
GERMANY,34000,51,9,ITALY,42.83,12.83
GERMANY,0,51,9,LATVIA,57,25
GERMANY,0,51,9,LITHUANIA,56,24
GERMANY,2700,51,9,LUXEMBOURG,49.75,6.17
GERMANY,0,51,9,MALTA,35.83,14.58
GERMANY,38200,51,9,NETHERLANDS,52.5,5.75
GERMANY,75300,51,9,POLAND,52,20
GERMANY,0,51,9,PORTUGAL,39.5,-8
GERMANY,58800,51,9,ROMANIA,46,25
GERMANY,0,51,9,SLOVAKIA,48.67,19.5
GERMANY,0,51,9,SLOVENIA,46,15
GERMANY,3300,51,9,SPAIN,40,-4
GERMANY,0,51,9,SWEDEN,62,15
GERMANY,1000,51,9,UNITED KINGDOM,54,-2
GERMANY,0,51,9,ANDORRA,42.5,1.6
GERMANY,0,51,9,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,41.83,22
GERMANY,0,51,9,GIBRALTAR,36.18,-5.37
GERMANY,0,51,9,GHANA,8,-2
GERMANY,0,51,9,GREENLAND,72,-40
GERMANY,0,51,9,JAPAN,36,138
GERMANY,0,51,9,KAZAKHSTAN,48,68
GERMANY,0,51,9,RUSSIAN FEDERATION,60,100
GERMANY,0,51,9,SAO TOME AND PRINCIPE,1,7
GERMANY,0,51,9,SWITZERLAND,47,8
GERMANY,0,51,9,THAILAND,15,100
GERMANY,0,51,9,URUGUAY,-33,-56
GERMANY,0,51,9,US,38,-97
GREECE,0,39,22,AUSTRIA,47.33,13.33
GREECE,0,39,22,BELGIUM,50.83,4
GREECE,34300,39,22,BULGARIA,43,25
GREECE,0,39,22,CYPRUS,35,33
GREECE,0,39,22,CZECH REPUBLIC,49.75,15.5
GREECE,0,39,22,DENMARK,56,10
GREECE,0,39,22,ESTONIA,59,26
GREECE,0,39,22,FINLAND,64,26
GREECE,0,39,22,FRANCE,46,2
GREECE,0,39,22,GERMANY,51,9
GREECE,0,39,22,GREECE,39,22
GREECE,0,39,22,HUNGARY,47,20
GREECE,0,39,22,IRELAND,53,-8
